course_code,course_name,regulation_code,semester_number,subject_code,subject_name,credits,aliases
CSE,Computer Science and Engineering,R23,1,23A52201T,Communicative English,2,"CE, ENG"
CSE,Computer Science and Engineering,R23,1,23A51202T,Chemistry,3,CHE
CSE,Computer Science and Engineering,R23,1,23A54101,Linear Algebra & Calculus,3,"LAC, M1"
CSE,Computer Science and Engineering,R23,1,23A01201T,Basic Civil & Mechanical Engineering,3,BCME
CSE,Computer Science and Engineering,R23,1,23A05101T,Introduction to Programming,3,ITP
CSE,Computer Science and Engineering,R23,1,23A52201P,Communicative English Lab,1,CE Lab
CSE,Computer Science and Engineering,R23,1,23A51202P,Chemistry Lab,1,CHE Lab
CSE,Computer Science and Engineering,R23,1,23A03201,Engineering Workshop,1.5,EW
CSE,Computer Science and Engineering,R23,1,23A05101P,Computer Programming Lab,1.5,CP Lab
CSE,Computer Science and Engineering,R23,1,23A99201,Health and wellness Yoga and Sports,0.5,HWYS
CSE,Computer Science and Engineering,R23,2,23A56101T,Engineering Physics,3,EP
CSE,Computer Science and Engineering,R23,2,23A54201,Differential Equations & Vector Calculus,3,"DEVC, M2"
CSE,Computer Science and Engineering,R23,2,23A02101T,Basic Electrical & Electronics Engineering,3,BEEE
CSE,Computer Science and Engineering,R23,2,23A03101T,Engineering Graphics,3,EG
CSE,Computer Science and Engineering,R23,2,23A05102,IT Workshop,1,ITW
CSE,Computer Science and Engineering,R23,2,23A05201T,Data Structures,3,DS
CSE,Computer Science and Engineering,R23,2,23A56101P,Engineering Physics Lab,1,EP Lab
CSE,Computer Science and Engineering,R23,2,23A02101P,Electrical & Electronics Engineering Workshop,1.5,EEE
CSE,Computer Science and Engineering,R23,2,23A05201P,Data Structures Lab,1.5,DS Lab
CSE,Computer Science and Engineering,R23,2,23A99101,NSS/NCC/Scouts & Guides/Community Service,0.5,"NSS, NCC"
CSE,Computer Science and Engineering,R23,3,23A54301,Discrete Mathematics & Graph Theory,3,"DMGT, M3"
CSE,Computer Science and Engineering,R23,3,23A52301,Universal Human Values 2- Understanding Harmony and Ethical human conduct,3,UHV
CSE,Computer Science and Engineering,R23,3,23A30402,Digital Logic and Computer Organization,3,DLCO
CSE,Computer Science and Engineering,R23,3,23A05302T,Advanced Data Structures & Algorithms Analysis,3,ADSA
CSE,Computer Science and Engineering,R23,3,23A05303T,Object-Oriented Programming Through JAVA,3,"OOPJ, JAVA"
CSE,Computer Science and Engineering,R23,3,23A05302P,Advanced Data Structures and Algorithms Analysis Lab,1.5,ADSA Lab
CSE,Computer Science and Engineering,R23,3,23A05303P,Object-Oriented Programming Through JAVA Lab,1.5,JAVA Lab
CSE,Computer Science and Engineering,R23,3,23A05304,Python programming,2,Python
CSE,Computer Science and Engineering,R23,3,23A99301,Environmental Science,0,EVS
CSE,Computer Science and Engineering,R23,4,23A52402a,Managerial Economics and Financial Analysis,2,MEFA
CSE,Computer Science and Engineering,R23,4,23A54401,Probability & Statistics,3,"PS, M4"
CSE,Computer Science and Engineering,R23,4,23A35401T,Operating Systems,3,OS
CSE,Computer Science and Engineering,R23,4,23A05402T,Database Management Systems,3,DBMS
CSE,Computer Science and Engineering,R23,4,23A05403,Software Engineering,3,SE
CSE,Computer Science and Engineering,R23,4,23A35401P,Operating Systems Lab,1.5,OS Lab
CSE,Computer Science and Engineering,R23,4,23A05402P,Database Management Systems Lab,1.5,DBMS Lab
CSE,Computer Science and Engineering,R23,4,23A05404,Full Stack Development - I,2,"FSD-1, FSD I"
CSE,Computer Science and Engineering,R23,4,23A99401,Design Thinking & Innovation,0,DT
CSE,Computer Science and Engineering,R23,5,23A31301T,Artificial Intelligence,3,AI
CSE,Computer Science and Engineering,R23,5,23A05501T,Computer Networks & Internet Protocols,3,"CN, CNIP"
CSE,Computer Science and Engineering,R23,5,23A05502,Automata Theory and Compiler Design,3,"ATCD, CD"
CSE,Computer Science and Engineering,R23,5,23A05503,Introduction To Quantum Technologies And Applications,3,QTA
CSE,Computer Science and Engineering,R23,5,23A05504a,Professional Elective-I (Object Oriented Analysis and Design),3,"PE-1, OOAD"
CSE,Computer Science and Engineering,R23,5,23A03505,Open Elective-I (Sustainable Energy Technologies),3,"OE-1, SET"
CSE,Computer Science and Engineering,R23,5,23A31301P,Artificial Intelligence Lab,1.5,AI Lab
CSE,Computer Science and Engineering,R23,5,23A05501P,Computer Networks & Internet Protocols Lab,1.5,CN Lab
CSE,Computer Science and Engineering,R23,5,23A05506,Full Stack Development - II,2,"FSD-2, FSD II"
CSE,Computer Science and Engineering,R23,5,23A03508,Tinkering Lab,1,T Lab
